index,Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID,Embeddings
100,2023-02-05 00:00:00.000000,Mortgage,FHA mortgage,Trouble during payment process,None,"XXXX XXXX XXXX XXXX XXXX received {$23000.00} from haf funds to cover my XXXX  forbearance debt. They applied the funds to every payment I missed which included principal interest and taxes and insurance. During forbearance XXXX obviously covered my insurance and property taxes for me and when all payments were made with the HAF funds any money they paid forward would have been repaid but they took a separate {$14000.00} solely for escrow as well. Approximately {$4000.00} of that approximately {$14000.00} was for predicted end of XXXX tax and insurance coverage however the other approximately {$10000.00} was said to be to cover money XXXX  paid forward during my forbearance. Being that they applied the full payment amount which includes escrow for each month I was in forbearance this money was already paid back in said payments. So they double charged me. Also per haf fund guidelines they were not allowed to charge late fees and they charged me numerous late fees in various amounts. All over in the documents and statements are numerous servicing fees at random amounts, one being for over {$4200.00}. Then after receiving haf funds, applying the payments in full and taking double on separate escrow costs as well they went and reported twelve late payments to the credit bureau. I have had this mortgage since XXXX of XXXX. I applied for and accepted one modification offer in the beginning of XXXX after losing my job to XXXX however when I went into forbearance in XXXX of XXXX I was completely compliant so if all payments paid with haf funds were to be made as though current and on time how is it that they could pull me out of the modification and charge me over {$6000.00} in late payments and fees. As of right now after complying and following my mortgage and modification compliantly for almost six years they report that with an original loan balance of {$75000.00}, I currently still owe just over {$74000.00} still. It's impossible, it's wrong, it's out right fraud and I know I am not the only one. XXXX had me locked out of my account from XXXX to XXXX of XXXX. Then when I began the investigation they sold me over to shell point to try and hide their crimes but everyone knows shell point is XXXX  hiding under a different name. I am sure they have more than likely frauded nearly all of their clients however I am concerned with their fraud of me and my account. I should be at approximately {$53000.00} balance currently and according to them I've paid less than a XXXX in almost six years.",Company believes it acted appropriately as authorized by contract or law,"Shellpoint Partners, LLC",WI,XXXXX,None,1,Web,2023-02-28 00:00:00.000000,Closed with monetary relief,1,1,6525658,-1.8576968
102,2023-02-03 00:00:00.000000,Mortgage,Conventional home mortgage,Trouble during payment process,None,Fees charged on our mortgage from wells fargo,Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,MN,554XX,None,1,Web,2023-02-24 00:00:00.000000,Closed with explanation,1,1,6534110,-1.6701773
103,2021-06-27 00:00:00.000000,Mortgage,FHA mortgage,Applying for a mortgage or refinancing an existing mortgage,None,"I was reluctant to think this, but it felt as though we were being discriminated against because we were two XXXX women that were attempting to purchase a home together as partners. On XX/XX/XXXX, I reached out to XXXX XXXX, a mortgage loan originator with Synovus Bank, and left a voicemail for her to contact me back regarding reinitiating a mortgage loan application. Within half an hour after leaving a voicemail, XXXX XXXX, XXXX 's "" partner '' as she described herself contacted me back. I briefed her on my plans for purchasing a home and the need to do so by XXXX of XXXX at the latest. After providing personal information to XXXX about myself and my co-applicant ( which I introduced to XXXX and XXXX as my partner at the time ) she quickly requested to do a credit check to which she reported that my co-applicant needed to increase credit score. XXXX promised to send a copy of both our credit reports via email that same evening to which she did on XX/XX/XXXX at XXXX XXXX  and copied XXXX XXXX, with instructions on how to increase credit scores and how to provide proof of increases to Synovus Bank at her attention. XXXX also said she would provide an XXXX  worksheet with approximate pre-approval information/breakdowns since my co-applicant and I knew the home we were trying to purchase ; she never sent the worksheets. I requested the fax number to send proof documents on XX/XX/XXXX at XXXX am via email and sent another follow-up email on XX/XX/XXXX at XXXX XXXX  since I did not receive a response from XXXX XXXX or XXXX XXXX. A couple of minutes after my follow-up email, XXXX responded via email on XX/XX/XXXX but did not provide the XXXX worksheets. I sent an email on the morning of XX/XX/XXXX requesting the XXXX worksheets so we could properly come up with a game plan. I also requested that XXXX and XXXX be transparent with us regarding our likelihood of being preapproved so that we could know exactly where we stand and what we need to do since we were on a time constraint with our current living situation. XXXX simply responded later that afternoon that my co-applicant 's scores are "" a little low '' and she will "" get with XXXX '' and they will provide an update. From the beginning to the end NO ONE ever explicitly expressed that we would not be approved. XXXX finally reached out via email at XXXX pm on XX/XX/XXXX claiming she "" lost her XXXX and XXXX, and needed to get it reinstalled '' and a bunch of other reasons as to why she was providing the XXXX FHA purchase estimate worksheet 6 days after she initially promised. She recommended that we continue with XXXX ' 100 % financing option and mocked it up for a community in a predominately XXXX area that we never advised we were interested in. XXXX had already suggested we look into the community back in XXXX when my co-applicant and I initially reach out to her regarding approval for a community in a predominately white area. After my co-applicant made the recommended payments XXXX and I were going back and forth via email regarding a home we were interested in to which we were advised the specific ( median income required ) areas we need to look into to be approved for 100 % financing. After running our credit twice, XXXX advised via email on XX/XX/XXXX that she will request another credit agency rescore and will reach out as soon as she gets an update. We sent an email on XX/XX/XXXX requesting an update and never heard from XXXX nor XXXX ever since. Our credit was run so many times that we suffered at least a 10 point decrease due to the number of hard inquiries. To this day, we have NOT heard from XXXX nor XXXX and it is VERY clear they couldn't care any less if we were homeless considering we requested total transparency with this process from the beginning but failed to receive it. It was absolute poor customer service from the beginning once XXXX and XXXX determined that we were not worthy candidates since the market was booming the past few months after the onset of the global pandemic. We felt slighted, underserviced, discriminated against, neglected, and just plain disappointed.",None,Synovus Bank,GA,30101,None,1,Web,2021-06-27 00:00:00.000000,Closed with explanation,1,1,4494886,-2.5826762
108,2021-09-06 00:00:00.000000,Mortgage,VA mortgage,Trouble during payment process,None,"About i went thru a brooker to get a V.A.loan and was placed with XXXX XXXX to start my payment was XXXX at 4.8 percent intrest rate, in about a year my payment up to XXXX the intereast stayed the same.now the whole time i was never late with my house payment. I called XXXX asking the about refinanceing to get my payments lower because i ; m a XXXX XXXX on XXXX percent disable with XXXX XXXX XXXX XXXX on a budget and would like to get my payment down they were not interested. I got hold of vennsa from American and they were happy to refinancs=e me to get mymeric payments lower. after getting the paper work done with A merican XXXX said the only thing left was to get the buyout from Rushmore/ Well thats when the problems started, i contacted Rushmore on the XXXX XXXX after waiting two weeks and hearing nothing from rushmore. XXXX and her boss XXXX ask me if i mind them getting hold of Rushmore. aftrer two weeks Rushmore came out saying i owed back payments fromR XXXX which i had to go to my bank to show that was a lie. after that they came up why they would not give American the buyout ; Finally after going back and forth on XXXX XXXX they recived the buyout from Rushmorealmost 3 months. Iin the mean time Rushmore went tto XXXX the credit reporting company saying i was 3 months behind on my mortage and my credit score went from almost XXXX XXXX to XXXX",None,RUSHMORE LOAN MANAGEMENT SERVICES LLC,NJ,082XX,"Older American, Servicemember",1,Web,2021-09-06 00:00:00.000000,Closed with explanation,1,1,4695439,-2.0674033
109,2021-02-04 00:00:00.000000,Mortgage,Conventional home mortgage,Struggling to pay mortgage,None,I put my mortgage into forebearance. After the forbearance ended in XX/XX/2021 the mortgage lender SPS services recalculated the payment at {$1000.00} higher than it was prior to the forebearance. I am unable to make this payment and I fear my house will be foreclosed. I need help for me and my family.,Company believes it acted appropriately as authorized by contract or law,"SELECT PORTFOLIO SERVICING, INC.",CT,068XX,None,1,Web,2021-02-04 00:00:00.000000,Closed with explanation,1,1,4116837,-1.4728855
114,2019-08-16 00:00:00.000000,Mortgage,Conventional home mortgage,Trouble during payment process,None,"Sirs My property at XXXX XXXX XXXX has had several water issues over the past 18 months leading to two prior insurance claims and a current claim. The source of the problem has now been identified it is a backup sewer line that had the previous plumbers put a camera through the sewer line they would have seen that the sewer line was damaged. 

The Loss My house is currently rented. On XX/XX/XXXX, the tenants used the powder room and the water overflowed emitting sewer water all over the wooden floors. They immediately called a plumber it was XXXX in the morning and the plumber put a camera through the line, cleaned up the sewer and discovered the sewer line was broken. 
The sewer water damage is extensive, causing damage on the main level and seeping through to the basement, where the celling collapsed and the sewer water went into the carpet in the basement. 
I was notified on XX/XX/XXXX and called the insurance company XXXX XXXX. They were closed for the holidays. XXXX came out to dry out the house and basement. There is still an outstanding bill for the XXXX remediation. 

The Insurance Coverage XXXX XXXX maximum payment for Back up Sewer loss is {$10000.00} ( see attached ) The adjuster came and estimated the work to repair the inside of the house the wooden floors, powder room, basement wall, replace the sewer line, replace basement carpet etc., is {$14000.00}. Hardly enough but because of the maximum back up sewer clause I did not see the point in asking for a re-estimate. Estimates to replace the sewer line ran from {$6500.00} - {$11000.00}. 

Work completed to date. 
This is a major loss involving water. 

1. Sewer Line i. I had to replace the line, to prevent any further damage. 
ii. There is nothing to inspect. The work is done under ground. XXXX inspected the line once the work was completed and validated it was up to code. You can check with them for validation providing them with the address. 
2. Humidifier i. I had to put humidifiers in the basement to prevent mold build up. There is mold growing on the wall and underneath the carpet. 
ii. XXXX provided this work I have not paid them yet. 

Chase Insurance Policy Chase needs to inspect the work in accordance with the Adjusters report. That is the standard process. However, it will not work in this instance because the loss exceeds the maximum coverage. The back up sewer coverage maximum is {$10000.00}. That has already been expended : the line needed to be replaced immediately, the house needed to be dried out with dehumidifiers. The landscaping. 

The powder room and wooden floors will have to be done later and can be inspected but I will have to fund this later. Yet these can be inspected, but will not be done. Again, the monies have been used to fix the sewer line that runs underneath the ground so unless we pull up the ground there is nothing to inspect. Yet I am told you need to inspect to release the funds. I have spent my own money and need the rest to fix the growing mold in the basement. 

I truly understand that you have to validate work, but there needs to be another process for loss that occurs as a result of a backup sewer. THERE IS NOTHING TO INSPECT. A better validation is to call the utility company. XXXX will validate that they certified the work. 

Outstanding Work Time is of the Essence The loss occurred 6 weeks ago. Water is in the house. The house still has a sewer smell. Mold is growing every single day in the basement. I have a contractor who is on standby to work on the mold remediation in the basement. He has to remove the dry wall, carpet etc., I need to pay him to get started this week. Hes quote for the basement is in excess of {$9000.00}. The wooden floors and powder room is another {$6000.00}. Clearly the insurance check will not cover the work to be completed. 

The ask Every day we are waiting to release funds is exacerbating the mold issue. I have already paid out close to {$9000.00} and would like it released to me this week so I can try and stop the bleeding the mold in the basement continues to grow every day during the damp, hot summer months. 
I understand there is a process for Chase Insurance Claims. I have been to Chase branch every day for the past 10 days and no one at the branch understood how to process the check. I am simply asking to be refunded for the monies spent to date so that I can pay another contractor to begin on the basement to stop further damage to the basement. 

Waiting on an inspector to come and check the work completed to date is futile. The work completed is underground the water pipe. A better validation for Chase is for you to contact XXXX who inspected the pipe before the concrete was replaced. 

I am happy to have the inspector can come out to check on the basement once it is completed. But the work to be completed needs funds and I have expended all my funds on the pipe replacement. 

Please advise what we need to do for Chase to refund me for monies spent to date so that I/We can protect the property from further damage.",None,JPMORGAN CHASE & CO.,MD,20721,None,1,Web,2019-08-16 00:00:00.000000,Closed with explanation,1,1,3343030,-2.0358458
122,2021-01-18 00:00:00.000000,Mortgage,Conventional home mortgage,Trouble during payment process,None,"We refinanced in XX/XX/XXXX, our loan was then sold to BSI Financial Services in XXXX and first paymet was due XX/XX/XXXX. 

At the end of XXXX we received a mortgage statement from BSI and went to the website listed myloanweb.com/BSI. We created an account so that we could pay our mortgage. 

First problem ( I have pictures of this as well ) when we login to the main page we have a popup that says we've partnered with XXXX XXXX to get you insurance ( home owners which we couldn't have refinanced without proving that we have homeowners insurance ). This popup blocked our loan #, due date as well as how much we needed to pay. There was no 'x ' button and no way to get off the screen. After calling I was told to click anywhere along the edge and it would disapppear but every time I navigate back to the home screen ( not even just every time I login ) the popup is there again. No ability to turn it off ( as of XX/XX/XXXX I can now turn it off for up to 90 days so that is better but still really annoying ). I do not expect to have telemarketing material shoved at me when I go to pay my mortgage. Previously our mortgage has been with XXXX XXXX and XXXX XXXX and if they ever asked a question such as would you like quotes on refinancing it was as you logged in and then you didn't see it again and never showed up blocking any information - clear to click on yes or no. 

Second problem - when I go to pay my mortgage online, I am asked for bank information ( totally normal ) but unlike every other institution I have worked with ( utility companies included ) I have no means to link my bank account to my mortgage and instead every single month ( for the next 15 yrs if I am stuck with them ) I have to put in Bank name, bank city, bank state, borrower type, bank acct type, routing number, acct number. First month they even claimed I was not a borrower but I got that resolved. I don't know a lot of those numbers ( namely the routing number which is not so easy to always find ) and usually I just add it in once, verify small deposits or however they link the accounts and then choose that account to pay from going forward. Now I can't do that unless I want them to do automatic payments which I do not want in any way. I pay on different days each month ( around the same time ) but I may have to move money from a business account to a personal account to pay the personal bills and therefore don't want a large sum being deducted automatically ( plus many months I pay extra ). I tried to pay via ACH through our personal checking account and BSI is not listed so would take at least a week for a physical check to reach them. BSI said they don't accept ACH payments so only reasonable way to pay is via myloanweb.com/BSI. 

Third problem - every other loan/account XXXX have/had, it is clearly stated the due date as well as the 'grace period '. For BSI it never says you have until XXXX day of the month or XXXX to pay, as soon as you login it says you are delinquent if you login on the second. Our mortgage broker explained that under federal law, we have until the XXXX to pay our mortgage before its considered late, before we can get late fees or that it would be reported to the credit bureaus. In fact on the paper bills it says no late fee will be charged if payment is received after the XXXX. On XX/XX/XXXX I went to pay my bills ( well most of my bills I paid the previous day but since I had to look up a lot of info for BSI I had to wait till I had more than a minute or two ) and went to one time payment - online payment and noticed that there was listed a {$7.00} processing fee added to my payment. When I called, I was told that is because it was after the XXXX and they add that fee and they can't remove it. Well that is not acceptable, they have no right to add to my mortgage and nothing was ever stated telling us this. After speaking with a supervisor, he agreed to waive any late fees and promised that we would not get reported to the credit bureau and gave us the information so that we could have a check sent to them from our bank but this is not a viable long term solution ( truthfully had hoped to pay mortgage down by an extra {$1000.00} but I'm not giving them anything extra ) I have images of every issues with personal details blacked out that I have described above. The answer every time I call BSI is to setup auto payment. 

We have a standard 15 year fixed rate mortgage. We have owned our home for over 15 years and during that time we have never been late on a payment or not paid in full. We have good credit scores and have had no problem getting a mortgage or refinancing. I pay all my bills online within the first 8 days of every month ( utilties, mortgage, credit card, phone/internet etc. ) and have had no problem using 1 time payments for each of these ( all clearly state when and how much of a late fee will be assessed or if you pay via credit card you will incur x % or $ x amount.",None,"BSI Financial Holdings, Inc.",NJ,07052,None,1,Web,2021-01-18 00:00:00.000000,Closed with explanation,1,1,4075525,-2.0172763
132,2019-05-03 00:00:00.000000,Mortgage,Conventional home mortgage,Struggling to pay mortgage,None,"On XX/XX/XXXX of XXXX my husband and I wanted to take a loan out on either our house or our land. Not both. We owned it outright and its value is approx XXXX. I had recently been diagnosed with XXXX and was about to start XXXX. We needed the extra money to pay Bill 's we were behind on and get a new vehicle. We let them know I wasnt working and was fighting social security. We still are. We wanted XXXX and was approved and told to come back the next day to sign papers. We asked for a XXXX dollar advance and was told we could pick the check up in two days. When we came back mrs. XXXX told us that an old loan of mine was never paid off even though my check was garnished. My former employer only paid half of it and they claimed to now i was responsible for the rest even tho j paid it in full to her. They said they would have to finance what I owed into the loan and would have to sue her. They said they would get me the paperwork as to what I owed and what was being financed and also how much interest it would accumalate over the term so I would know the amount to survive for. Never got it. I've asked several times. This changed the rate on the loan, the payments, and the length. It went from a four year loan to six and the apr changed to 31percent. At  the end of the term we will be paying back XXXX. At no point in time were we ever told that the advance we got was another loan that was opened on XX/XX/XXXX and closed on XX/XX/XXXX. They charged us XXXX to finance it into our loan and then financed XXXX on top of the XXXX we borrowed and the XXXX I owed from the old loan. 
When I started XXXX, it was detrimental to my health and our finances. I was in and out of the hospital in XXXX for three months. I emailed and called liberty and asked for help. They never responded. I was well enough at one point to go down there and ask about getting some help or for a pass on a payment to help us while we were going thru the financial hardship. XXXX, the manager couldnt explain to me the reasons why the numbers didnt match on the loan regarding the cash in hand and the two loans that we didnt know about. The numbers on the loam.theybsaid in owed didnt match the paperwork they had sent me a year prior compared to what they financed on the loan. The payoffs were different. The amount t owed was less on my old.letter. He couldnt give me any paperwork and said I had to wait for XXXX. I got sick again and they did not offer any help towards the situation. They never had us sign two loans. They didnt even research the title but they charged us XXXX for it. I did the title search. We never had an appraisal. It was the owner, XXXX and XXXX who came. We didnt realize the land had been put into the loan until we faced foreclosure for the first time. This is the third time and the numbers still dont match. Our credit report isn't correct on what we have paid and it hasn't been a year yet. We owe XXXX on monday or our house and land gets sold. We paid XXXX three months ago when they tried to foreclose. It was supposed to be XXXX but they cut out the lawyer fees supposedly and were supposed to edit our payments. They never did. They never called us, never tried to get in contact or return my calls. Theybsaid they would help us homestead it also well at least direct us in the right direciton.I believe this is mortgage fraud. Now we are losing our XXXX home to a XXXX loan.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"Liberty Finance Co., Inc.",MS,389XX,None,1,Web,2019-06-27 00:00:00.000000,Closed with explanation,1,1,3231289,-2.4396744
135,2019-08-12 00:00:00.000000,Mortgage,Conventional home mortgage,Struggling to pay mortgage,None,"I HAVE BEEN TRYING TO MODIFY THE EXISTING MORTGAGE WITH A NEW COMPANY, SELECT PORTFOLIO. THIS COMPANY IS GIVING ME HARD TIME WITH THE DOCUMENTS EVEN THOUGH I HAVE SENT DIFFERENT TIMES. THEY ARE SAYING THEY ARE NOT RECEIVING THEM. 

I HAVE BEEN SENDING NEW DOCUMENTS LIKE 4 DIFFERENT TIMES. THEY ARE PLAYING ME. 

RECENT I PAY TO AVOID FORECLOSURE. NOW THEY SAYS THAT I NEED TO PAY MORE.",Company believes it acted appropriately as authorized by contract or law,"SELECT PORTFOLIO SERVICING, INC.",FL,XXXXX,None,1,Web,2019-08-12 00:00:00.000000,Closed with explanation,1,1,3337690,-1.3477863
136,2019-11-07 00:00:00.000000,Mortgage,VA mortgage,Trouble during payment process,None,"Pennymac USA has just imposed an arbitrary {$5.00} fee for payments made between the XXXX and the XXXX of the month. I believe this is a violation of the terms of the VA-backed mortgage contract which, of course, PennyMac bought the rights to service. Please investigate, and if I am correct and PennyMac is imposing an unlawful fee, take any and all punitive measures necessary to incentivize future compliance with contract terms.",None,"PENNYMAC LOAN SERVICES, LLC.",VA,223XX,Servicemember,1,Web,2019-11-07 00:00:00.000000,Closed with explanation,1,1,3432093,-2.6027756
142,2023-02-24 00:00:00.000000,Mortgage,Conventional home mortgage,Trouble during payment process,None,"I bought my house in XXXX, XXXX and got a mortgage with Movement Mortgage , LLC. I immediately set up auto withdrawal for all my mortgage payments well before my first payment was due in XXXX, XXXX. My first payment was auto withdrawn from Movement on XX/XX/XXXX and again on XX/XX/XXXX. The first payment was {$1900.00} but the second was a lesser amount of {$1800.00}. I called Movement on XX/XX/XXXX inquiring about the lesser payment amount and was told that was due to an overcollection of escrows at my closing which had adjusted my monthly future payment amounts down to {$1800.00}. 
A few days ago, I received an envelope in the mail with information stating that my loan was in default and that I had never made any payments which is clearly not true because Movement AUTO WITHDREW them from my bank account. I am attaching copies of my bank statements that show each payment was auto withdrawn from my account, as well as the letter I received from Movement stating I was in default. 
I immediately called Movements phone number as provided on the default letter to find out why I received this letter and was told this is some type of servicing issue on their end and that both my XXXX and XXXX payments were received but put into a suspense account held by Movement because they took out the incorrect payment amount in XXXX. I am also attaching copies of my loan portal that shows I am in default but that my payments were received. To date, these payments have not been credited back in my loan account, thus appearing that I have not made any payments and am in default. 
I have contacted the local Movement Mortgage , LLC that I used when I got this loan telling them of this issue, asking for it to be corrected, and nothing has been done. Clearly, I am beyond upset with this situation since I did everything I was required to do to insure my payments were being taken out and made on my loan and now it appears that my credit is going to be affected since no one has taken care of this mistake that was made by Movement. I feel this is fraud. 
Any assistance you can give me to get this straightened out would be greatly appreciated.",None,Movement Mortgage LLC,AL,357XX,None,1,Web,2023-02-24 00:00:00.000000,Closed with explanation,1,1,6613883,-2.2203102
