,Date received,Product,Sub-product,Issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID,TF-IDF scores,top_word
243,2020-11-25,Mortgage,Conventional home mortgage,Applying for a mortgage or refinancing an existing mortgage," completed paperwork for re-finance with company that already held my mortgage  referred my best friend to the company and they completed paperwork to re-finance with them  my best friend calls me to tell me they already closed on their loan while I have not heard anything about my loan making any movement and I also turned everything that was requested of me within 24 hours of completing my paperwork because   rushed me to turn it all in ASAP In I contact   ( loan processor ) she has no idea why my loan hasn't been conditionally approved, I make calls to customer service and her and nothing is done. I contact  ,  's supervisor   and  's supervisory   and they finally get on the ball. For the next month  contacts me weekly asking me for this and that verification. I have at this point submitted everything except a  and   sample. 
In -I 'm finally conditionally approved but there is still no movement. At this time life is happening, new job prospects, the home needs repairs but I can't do anything because my re-finance has not moved and you are told not to run your credit or change jobs. My life is being majorly impacted by this process and Mr. Coopers lacking ability to do their job. I make several customer service complaints with little explanations as to why nothing is happening except "" this is how it is. '' (    's supervisor ) In I contact , , , and  and explain if they don't set a closing date I'm going elsewhere. I end up not getting a closing date at like the 2nd week of    dares to ask me if I have 2 jobs. I HAD 2 JOBS IN  WHEN WE FILED PAPERWORK WITH ! I am absolutely disgusted with this company at this time. It's like they don't know or care about the way they conduct business. I get 2 other quotes from other lenders because I at this point HAVE to have this loan close for personal reasons. I get the quotes, turn them in, and they magically meet the other lenders ( which was way less in closing costs ) and have a closing date. The only reason I decided to go with Mr. Cooper after all the trouble is because I literally HAD to have the loan close so I could move on in my personal life with things I needed to do. 
 -I am told by   that I will be received {$1400.00} at closing ( electronically if I choose and I will give a voided check to the notary that comes to our home ) and then I will received a separate check for around {$1000.00} in the snail mail 2 weeks after closing. I receive my funds from closing in the amount of {$1800.00} and I made another mortgage payment so I assume yea that's why I got a little back. 
 signed closing documents at our home   It's been 3 weeks since closing and I don't have my {$1000.00} escrow refund check yet but I'll give them the benefit of the doubt and wait until next Monday. 
 I call customer service multiple times, hit buttons to get to a person and get hung up on multiple times this goes on for a hour. I reach out to   to see where my escrow refund is and she tells me she doesn't know and there is nothing she can do about it. ( On a recorded line I might add ) I plead for her to email someone or something she works for Mr. Cooper and she tells me no. I then reach out to   and  . I also finally get through to someone at customer service and the first person I speak with tells me that there is no disbursements and my escrow money was rolled over to my new escrow account. I am very upset at this point and get to a escalation specialist by the name of  . She says she will have someone contact me about this. During the waiting I have   call me and tell me "" you are confused. '' I'm not confused because I have email proof from   and know what I was told. Then   calls me and tries to tell me that cash at closing and escrow refund are 1 in the same which is also inaccurate because I was told they are separate and I depend on a mortgage company that is getting paid for a service ( and that I assume I can trust ) to tell me the truth and accurate information. I then reach out to a executive assistant by the name of   to try and reach the leadership for the company that is listed on their website. I then proceed to email  ,  ,  ,  ,  ,  ,  ,   ,  ,  ,  ,  , and  . These people listed above are all leadership within the company and I think when a customer has a serious complaint that leadership should be involved. I did not get one reply from anyone in leadership at all. 
 -I received a call from   who reports her title is Assistant VP over the sales department. She proceeds to tell me nothing wrong has been done and she has reviewed my case and I can filed a complain with CFPD but nothing will be found there as well. How she knows the future is beyond me but here I am filing the complaint anyway. I truly can not believe this company is able to get away with lying to their customers. I was dependent on that {$1000.00} for  for my children and patiently waited as I was instructed to be told the fine print changed and I knew. The truth is NO I DID NOT KNOW, I was instructed verbally and via email otherwise. I have this email as proof showing that I signed the closing documents prior to receiving this email and verbal confirmation of the funds I would be receiving. They re-structured my loan without my knowledge and without explaining it properly. I am not a mortgage specialist and therefore don't know ins and outs of mortgages. I was lied to and fraud was committed and I hope this complaint is seriously looked into. This company is doing very wrong things. If they can't get this right there is no telling what else is going on. I was told my   when I asked to speak to the CEO   "" that is not how it works, '' "" you are not able to talk to him, '' "" you have no reason to talk to him. ''",,NATIONSTAR MORTGAGE LLC,TN,37036,,True,Web,2020-11-25,Closed with explanation,True,True,3974063,[0.        0.        0.0394472 ... 0.        0.        0.       ],"['reach', 'tell', 'company']"
244,2017-09-28,Mortgage,Conventional home mortgage,Trouble during payment process,"To whom it may concern : I applied for a loan modification with PNC in //. My loan is a portfolio loan which is not owned by  or  and does n't qualify for HARP so options were to sell, refi ( but bring money to the table ) or modify the existing loan. 

On // I received a trial payment condition in order to qualify for the loan modification. 
1st payment {$900.00} .... I paid  on // 2nd payment {$790.00} ... .I paid  on // 3rd payment {$790.00} ... .I paid  on // ( I paid extra ) On  I received a check back from PNC for {$790.00}. stating I did n't pay the amount in full. 

On // I sent {$990.00} to PNC to ensure that my payment was covered ( this extra was to cover the fee they added ) When I received my loan modification paperwork - the terms were not what I wanted or agreed to, so I did n't except their offer. 

In // my credit report is showing that I was over 30 days late for my // payment. 

Now that I have a 30 day late I ca n't refinance my mortgage with any lender for a year. I feel that they set me up to fail so they could keep my loan to service for another year. 

Now I understand that the loan modification paperwork states paid by the // of each month but if you listen to the recorded phone calls made by PNC their customer service reps state as long as its paid within the month. I made not have made the payments on the //, but they were NOT 30 days late. 

Please see attached paperwork and bank statements showing that the funds cleared prior to the end of //. 

Thank you in advance.",,PNC Bank N.A.,VA,23452,Servicemember,True,Web,2017-09-28,Closed with explanation,True,True,2687717,[0. 0. 0. ... 0. 0. 0.],"['payment', 'modification', 'loan']"
246,2021-11-23,Mortgage,Conventional home mortgage,Trouble during payment process,"I recently received a Citizens Escrow Account Disclosure Statement dated //. I have attached a copy of the statement ( page  was intentionally omitted as it is blank ). 

You will notice on page  of the attached Citizens statement showing my escrow activity for // through //, there was NO escrow payment indicated for , . While I realize that as of the date the statement was generated ( // ) Citizens had not received any escrow payment for , it should have been estimated in the same way that the month of ,  was estimated. Citizens has only reflected  months of escrow payments on their statement when there should be . 

I participate in Citizens ' bi-weekly mortgage payment program and my  bi-weekly  mortgage payments have already been made which Citizens ' online escrow records reflect as of today ( // ) with an escrow balance of {$4300.00}. Once my  payments are made ( which Citizens has appropriately reflected on the escrow statement as an estimate ), my closing escrow balance will be {$5700.00} and NOT the closing balance of {$4300.00} for 2021 Citizens show on their statement. 

This is relevant as Citizens is currently asking me to pay {$2700.00}, the difference between their incorrect // opening estimated escrow balance ( {$4300.00} ) and the required opening escrow balance ( {$7100.00} ) as of the same date. 

To conclude, I believe the amount I owe Citizens at this point is {$1300.00}, the difference between your required balance of {$7100.00} and the correct opening balance of {$5700.00}. 

It should be noted that over the last week I spoke to  different customer service representatives at Citizens (  of the  was a supervisor and another of the  was in the customer advocacy dept ). They all kept telling me that because the statement was generated on // and no  payment had been received at that point, my payment was listed as {$0.00}. I asked them why  couldnt be estimated like  was estimated and they really had no good answer.",,"CITIZENS FINANCIAL GROUP, INC.",NY,11561,,True,Web,2021-11-23,Closed with explanation,True,True,4940970,[0. 0. 0. ... 0. 0. 0.],"['escrow', 'statement', 'balance']"
248,2021-08-06,Mortgage,Conventional home mortgage,Closing on a mortgage,I am working Key bank on a refinance of my property. This is a program in partnership with   under the Cash Offer option where  funds a short term high interest loan which will be refinanced out of. Keybank commits to a aggressive closing timeline of 30-35 days and makes promises to close in the time frame. My re-finance took almost 60 days to close despite us providing document timely. Experience is both frustrating and added significant cost to our mortgage due to the high interest short-term loan.,,KEYCORP,WA,98125,,True,Web,2021-08-06,Closed with explanation,True,True,4606664,[0. 0. 0. ... 0. 0. 0.],"['term', 'high', 'aggressive']"
250,2021-08-06,Mortgage,FHA mortgage,Applying for a mortgage or refinancing an existing mortgage,"My loan was sent to underwriting several times and they waited to the last minute to catch that   was a community state In  I received an call from an inquiry to apply for an FHA mortgage. I spoke with  . 

I explained to  my situation and income. My income is ssdi, ssdi family allowance for my children, spousal support, and child support. My documents has not changed during the entire time. When I explained to  the ssdi family allowance. She told me that fine, we may just have to research it together and show the underwriters but we will cross that bridge when we get there. 

 also expressed her concern regarding my income and situation and told me that she wanted to submit my file to underwriting to make sure we know exactly what they would accept and what they need in order to approve the income documents prior to sending me an pre approval to shop for a home. 

I was confident in what she was telling me and it made sense. I knew my income was not traditional so I was happy to know that when I actually get an pre approval that we wouldn't have problems with that part. 

I went through underwriting 3 times prior to getting a pre approval letter. 


Facts : they knew I was still legally married and not divorced from day one. 

Fact : they knew I was looking to move to   and was selling my place in   Facts : they knew my  income and that one of my dependents will be turning  in less than 3 years. 

These things didn't change! 

 goes by still working out the kinks and but no issues or questions concerning the documents I sent. My credit has to be pulled again. I'm still being sold on the fact that underwriting is reviewing the income documents and credit. I had to remove disputes of my credit. I had no conversation with   but was speaking to . 

 I resolved the credit issues and now underwriting has revied my documents and sent me new conditions. I thought all was good. I started looking at homes with my pre approval and new conditions. 

Fact : they knew from the  I was not legally separated. 

Fact : they knew from  that I was moving to   a community property state. 

Issues : they didn't mention the my spouse debt having to be included in mine. Had they done this in the beginning I wouldn't have been able to move forward. 

His debt increased my debt to income ratio and place me in an unqualifing state. 

I asked several times if they were going to deny me to send me a letter so that I can at least recover my earnest money deposit. 

When I finally receive an email for my letter and logged on I noticed the reason stated was customer withdrawal. 

Not only did they drop the ball, give me the run around, but had intentionally jeopardize my opportunity to receive my earnest money. Making it look as if I withdrew my loan instead of a denial due to the real reasons. My dti and or income because my spouse debt had to be added to the loan. Please see attached screenshot from   basically stating to me that they couldn't do the loan. This was also unethical of  to deliberately change the reason for the withdrawal.",,"Michigan Mutual, Inc.",NY,11752,Servicemember,True,Web,2021-08-23,Closed with explanation,True,True,4606407,[0. 0. 0. ... 0. 0. 0.],"['income', 'knew', 'underwriting']"
253,2023-02-06,Mortgage,Conventional home mortgage,Applying for a mortgage or refinancing an existing mortgage,"Loan Depot (   ) has denied my husband and myself a loan based on discrimination practices. When applying for the mortgage loan we received pre-approval and was instructed by our bank that is suppose to be experts on mortgages to proceed with a flexible rate, knowing flexible rates are not very favorable because your monthly payment can change without notice. My husband and myself agreed. Now time to proceed to underwriting and we are instructed because we are no longer approved. When asked why they state we do not have the income. However, working in the most secure industry in the United States, the lender gets to tell us we do not have the income? While we know several caucasians who have less income, less reserved assets approved and close on  home with no issues. In addition, our caucasian associates have filed bankruptcy within the last 3 years and was still able to close on a  loan with no problem with unstable income. More importantly   denied to live in redline areas because underwriters are denying   the opportunity to live in redline areas. However, if we apply for a home in a minority less developed area we are approved instantly. This basically telling   you can only purchase in certain areas to be approved. This has discouraged several   from becoming homeowners.",,"LD Holdings Group, LLC",NC,28277,,True,Web,2023-02-06,Closed with explanation,True,True,6537028,[0. 0. 0. ... 0. 0. 0.],"['income', 'instructed', 'proceed']"
255,2018-01-12,Mortgage,Conventional home mortgage,Trouble during payment process,"I recently filed a complaint about    a Division of MidFirst Bank on //2017 through the Office of the Comptroller of the Currency. My issue was that they would not release funds for me to rebuild my home after a category three sewage problem damaged my home on //2017. Finally in // after I submitted my complaint they began to release the first payment. The problem with that, was they sent the check in the name of the Contractors buisness and I was not able to prevent any fraudulent action or actions from taking place. I did not know if the Contractor would take my money and run!!! When I addressed my concerns to   , they said that only the first check would be in the Contractors name the rest would come directly to me so that I would be able to dispense the money as needed. After the work began and I needed more money for materials,    said that they needed an inspection of the property. The inspector came and did his job and submitted his findings, which were satisfactory to   . As it stands I expressed my concerns about allowing someone to control my funds to rebuild my property!!!! The Mortgage Company insist this is how it will be done until the Contractor states that he is finished with the property. I feel as though the Mortgage Company is committing an Nefarious Act against me, this is my home and it is in my name and I still pay a mortgage on this property. I have no say in anything as far as the Mortgage Company is concerned ... .it is not fair and truly unjust. In today 's society we have to constantly stay aware of those we believe we can trust. It took my life to own my home and I am not willing to allow someone to take it all away from me because of an Nefarious Act that is being committed against me. Respectfully Submitted I would truly appreciate your help concerning this matter!!!!!! Thank You",Company has responded to the consumer and the CFPB and chooses not to provide a public response,MIDFIRST BANK,NJ,08618,,True,Web,2018-01-16,Closed with explanation,True,True,2780132,[0. 0. 0. ... 0. 0. 0.],"['rebuild', 'contractor', 'truly']"
256,2018-10-04,Mortgage,FHA mortgage,Struggling to pay mortgage,"My Name is    and I'm the daughter of  and  . In the // my family bought their first home with the home loan coming from Bank of America. Fast forward to the // my Father   was  and tried in a   and later  to   for a   . My mother since has suffered two minor  , diagnosed with   , and has had   placed into the  of her  and placed on   unfortunately unable to work. I submitted a hard ship letter to Bank of America as well as worked on behalf of my parents for the last 4 years with  submitting documents. Documents including paycheck stubs, Tax Forms, Budget forms, as well as entering into a re-modification program. We were indeed approved for the re-modification loan. We were approved for a trial mortgage and began moving forward. During the duration of the trial period all accounts of required funds were met and on time via cashiers check through the U.S. postal service. The last requirement needed from us was the signature of my father to reinstate the mortgage permanently. My father did not sign the documents but my mother was able to sign the last document. The bank told me moving forward not to send any more money and that the process would not move forward. the sale date of my family 's home is a week away. I am able to pay the mortgage and save it from foreclosure since working tirelessly through this re-modification process and for the past 4 years. from the age of . I writing this complaint as my last front for assistance and guidance in this matter. Thank you.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",NC,28216,,True,Web,2018-10-04,Closed with explanation,True,True,3037837,[0. 0. 0. ... 0. 0. 0.],"['forward', 'father', 'mother']"
257,2015-05-01,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account","I am a new homeowner and have only had a mortgage since //. My mortgage was sold to Ocwen Loan Servicing LLC . Almost immediately after closing, I received a letter from Ocwen Loan Servicing LLC, stating that I did not have homeowners insurance, even though it was a requirment to get approval for a mortgage. The letter stated that if I did not show proof of insurance, Ocwen Loan Servicing LLC would purchase homeowners insurance at a cost greater then if I had purchased my own homeowners insurance. I contacted my insurance agent and requested that they get in touch with Ocwen Loan Servicing to present proof of insurance. To cover all bases, I also sent via certified mail with return receipt, proof of my insurance. This problem was resolved but after much hassle and stress. Ocwen Loan Servicing LLC just made a large settlement in a class action lawsuit in Florida for receiving kickbacks involving this same exact insurance scheme. 

Next, in // Ocwen incorrectly paid the // real estate tax, even though I closed on my house //, which brought my escrow balance with Ocwen to a negative balance. To rectify this problem, I made an additional escrow payment via check and Ocwen 's payment coupon. When Ocwen received this additional escrow payment they applied it incorrectly as an additional principal payment, leaving my escrow account as a negative balance. Since Ocwen did not apply my additional escrow payment correctly, my monthly payment due has risen and is creating unnecessary financial hardship & stress. 

This is my now my third issue with Ocwen Loan Servicing LLC and I have only been a homeowner for four months.",,Ocwen Financial Corporation,IL,60641,,True,Web,2015-05-01,Closed with explanation,True,False,1356553,[0. 0. 0. ... 0. 0. 0.],"['insurance', 'escrow', 'additional']"
258,2021-11-23,Mortgage,Conventional home mortgage,Struggling to pay mortgage,"My husband and I did a modification in 2020, and we were able to get our mortgage straight and we had to start making payments in  2020. everyone had been on time since in  we received a letter saying that we were behind when we had made the payments. And as of today since  we have trying to get our account straight I have been talking to everyone that I could and still right today nothing has changed. We are so tired of trying since  to get everything updated, I have email also talking on the phone we need help because this is effecting our credit report showing that we are two months behind and that's isn't true.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"SANTANDER BANK, NATIONAL ASSOCIATION",IL,60473,Older American,True,Web,2021-12-21,Closed with explanation,False,True,4941220,[0. 0. 0. ... 0. 0. 0.],"['straight', 'talking', 'today']"
259,2021-07-27,Mortgage,Conventional home mortgage,Applying for a mortgage or refinancing an existing mortgage,"i applied for a home loan through Chase mortgage. When doing so, they advised there was a {$500.00} fee to apply, which i paid via credit card, to cover expenses like appraisal, etc. All documentation was provided and an appraisal was ordered and completed. On //, i began calling and texting in their chat window regarding questions about the refinance, rates and costs. I called several times and have 3 documented attempts via their chat function to ask these questions. They never returned a call nor answered any of the texts. At that point, i had to find a new lender because I had no idea of the status nor anything else regarding the rates and fees. i obtained a new lender and they advised we would transfer the appraisal to them, which i was fine with. Chase refused to transfer the appraisal. I then requested my {$500.00} back because they refused to help me with questions and would not allow me to use what i was paying for. They have also refused to return the {$500.00}. So they get {$500.00} from a potential customer, refuse to answer their questions, and then refuse to release the product they are supposedly paying for. Sounds like a scam from Chase and they should be reprimanded severely. I guarantee this is not the first nor the last time this will happen.",,JPMORGAN CHASE & CO.,TN,37064,,True,Web,2021-07-27,Closed with monetary relief,True,True,4577081,[0. 0. 0. ... 0. 0. 0.],"['appraisal', 'chase', 'chat']"
260,2021-10-19,Mortgage,Conventional home mortgage,Closing on a mortgage,"Contacted Sunny Hill Financial ( mortgage broker ) and   and  for quotes on a 15 year ( cash out ) refi. Both came back with differing quotes/ fees and would require a new appraisal- which was fine. Ultimately decided to move forward with Sunny Hill Financial, given they had lower fees and a slightly better rate. After locking ( 30 days ) the rate ( 1.875 % / 15 year ) and agreeing to the various fees, I was told that they were "" unable to find an appraiser in the area ''. When I pushed back, stating that I wanted an appraisal done, they informed me that I live in a "" rural area '' and could not find an appraiser to do it. The only option was to pay an additional ~ {$800.00} to close with no appraisal. They somehow received this "" appraisal waiver '' through   but was not disclosed early on in the process that this was an option. I pushed back and really wanted an appraisal done, both for the benefit of the report and the ~ {$800.00} less closing fees. I was informed if we went the "" appraisal route '', we certainly would not have time to close within the 30 day rate lock period. Rates had of course gone up, and the lender was unwilling to provide a rate lock extension without incurring a fee ( again, not because I did not provide all of the required information in a timely fashion, but solely because the could "" not locate an appraiser '' ). 

My issue is that this is the typical "" bait and switch '' strategy that often gets exploited. I, the consumer, move down the path with a mortgage company with the understanding of rate, fee structure, appraisal, etc. and then once you're "" in bed '', the financing structure changes. This is criminal in nature and should not be tolerated. My hand was forced to close a more expensive refinance because the interest rate lock would not be extended and the timing did not allow for the mortgage company to get an appraisal. None of this was my, the consumer 's issue, but I was responsible for the financial effect. 

I should be credited back the ~ {$800.00} that I was forced to pay and Sunny Hill Financial should be fined accordingly for deceptive / destructive behaviors and not acting appropriately as a fiduciary.",Company believes it acted appropriately as authorized by contract or law,"SunnyHill Financial, Inc.",OH,43221,,True,Web,2021-10-19,Closed with explanation,True,True,4824970,[0. 0. 0. ... 0. 0. 0.],"['appraisal', 'rate', 'hill']"
261,2021-11-23,Mortgage,Conventional home mortgage,Applying for a mortgage or refinancing an existing mortgage,"We applied for a conventional refinance on   and were pre-approved that day, then paid to lock in the rate and spent hours uploading documents. My income comes from self-employment with over 20 years of history ; and my income had dropped more than 30 % from  to  because I had an unusually busy year in  and then business declined due to the pandemic. Our income was still sufficient to qualify for refinancing - and my income increased substantially this year, documented by     reporting and copies of bank statements showing client deposits for my services. We also have documented assets of more than 7 times the amount we sought to borrow. "" Better '' underwriters decided to exclude my income totally, citing compliance with  regulations. I contacted  and learned that they provide guidelines, not regulations. Our credit rating has consistently been in the excellent range ; we have never missed a payment on anything and consistently prepay mortgage principal ; and when I requested a denial letter to send to , the ""  '' staff would not state that they excluded my income. I believe I am being discriminated against because I am self-employed.",,"Better Mortgage, Inc.",NJ,08558,,True,Web,2021-11-23,Closed with explanation,True,True,4939887,[0. 0. 0. ... 0. 0. 0.],"['income', 'consistently', 'self']"
263,2020-04-29,Mortgage,Home equity loan or line of credit (HELOC),Trouble during payment process,"Attempting to make principle only payments to a HELOC acct on multiple occasions. I h ave tried both the website and the app to transfer funds from a checking acct to the Flexline acct. It is set up with an auto bill payer feature that makes an interest payment. If I schedule a principle only payment it takes a long time ( weeks ) to  post to the acct. while interest is accruing. If I call my local branch and have a rep do it, it posts that day or the next business day. I understand this may seem like a small amount but if theyre doing it with thousands of accts it would be significant. I have no idea if its illegal, but it absolutely seems unethical.",,FIFTH THIRD FINANCIAL CORPORATION,WV,25704,,True,Web,2020-04-29,Closed with explanation,True,True,3628369,[0. 0. 0. ... 0. 0. 0.],"['principle', 'feature', 'ave']"
266,2018-10-24,Mortgage,Home equity loan or line of credit (HELOC),Closing on a mortgage,"Presently, I have a HELOC account established with Wells Fargo, {$0.00} balance in the account. 
I was sent two letters on //2018 informing me that Wells Fargo needs verification that I have current homeowners insurance on the property that I use as collateral for this HELOC loan. ( This property is located in , Tennessee ) The first of these two letters was received //2018. This letter states that I have 45 days to respond, or risk having the account closed. I took immediate action, notifying my insurance provider of this need. Proof of insurance was faxed on // to Wells Fargo. 

The second letter was received //2018. This letter informed me that if immediate action was not taken that insurance would be secured on my behalf by Wells Fargo, at a cost that may be much more expensive that my present policy.

The local branch office of Wells Fargo was notified of these two conflicting letters. They agreed that an internal communication problem existed within the department of "" Hazard Insurance Processing Center. '' A third letter was received //2018 stating that they have cancelled the temporary insurance coverage that was obtained on my behalf on //2018. ( before receiving notice from the first two letters )",Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,IA,50265,,True,Web,2018-10-24,Closed with explanation,True,True,3054916,[0. 0. 0. ... 0. 0. 0.],"['insurance', 'immediate', 'letter']"
269,2021-05-17,Mortgage,Conventional home mortgage,Applying for a mortgage or refinancing an existing mortgage,"Complaint re : NewRez Loan I am writing to complain about the re-financing of an existing loan with NewRez LLC. This was a long-drawn out procedure that began in // and was closed at the end of // but there are still unresolved errors. Most of my complaints are about inefficient procedures by NewRez that are better suited to a business complaint site but I have 3 specific issues that are squarely within CFPB purview. These are 1. My loan closed on // ( and took effect on // after the 3-business day waiting period ). I paid 5 months escrow property tax because a tax payment was due //. As of //, NewRez has not paid the property tax that was due, instead holding my money that I had already paid them in escrow. 

2. I sent a written notice of error to NewRez on //. No acknowledgment of receipt of this notice of error has bene forthcoming as of // ( 9 business days later ). I called on // and alerted them to the error and sent a copy of the property tax bill to the helpfful lady who answered my call. The best she could do was to promise me to "" Open a research inquiry and respond within 15 business days '', no fault of hers but a bit ridiculous since they actually had a copy of the tax bill showing that the amount was due on  and they had not paid it. 

3. The underwriting process is broken - they never provide a comprehensive checklist of documents that the client has to provide. Instead they ask for docs, a few weeks later ask to clarify certain things like a transfer to a bank account, then wait more weeks and ask for updated docs  pay stubs and bank statements in particular ), rinse and repeat. I must have submitted paystubs and bank statements 7-8 times over 6 months. The final irony was when they wrote back to say my loan amount was inaccurate because I was getting too much cash back solely because they had dragged the process out for so long that I had paid my loan principal down so much. The most important consequences of this delay were i ) the need to re-run my credit ( a second hard inquiry that dinged my credit score ) ; ii ) the need to re-cert my appraisal ( although they did credit me for that fee ) and iii ) the fact that my new mortgage payment was {$600.00} less than the old one, so I paid {$3600.00} extra over the dragged out refinance of which I assume at least half was due to unnecessary foot-dragging.",Company believes it acted appropriately as authorized by contract or law,"Shellpoint Partners, LLC",MA,02482,,True,Web,2021-05-17,Closed with explanation,True,True,4382332,[0. 0. 0. ... 0. 0. 0.],"['tax', 'business', 'dragged']"
271,2021-03-12,Mortgage,FHA mortgage,Trouble during payment process,"My mortgage was transferred from   to BSI Financial on //2021. I have received no welcome packet, no statement, and no information from BSI Financial. I have talked to BSI on the phone multiple times and they refuse to accept my payment, and will not even disclose how much my payment is, because they say my Chapter  repayment plan forbids them from taking a payment or discussing the account. BSI states they will not even send me statements on my account due to the bankruptcy. They told me I could mail in a payment, but refuse to tell me how much the payment is. They indicated they would not provide me with a receipt of any payments I send. I asked them if they were trying to force me into default and they refused to give me an answer. My mortgage is a "" direct pay '' and isn't even part of my Ch.  filing. I can't make a payment and my mortgage is already 10 days past due. I'm scared and don't know what to do.",,"BSI Financial Holdings, Inc.",IN,47630,,True,Web,2021-03-12,Closed with explanation,True,True,4205654,[0. 0. 0. ... 0. 0. 0.],"['payment', 'refuse', 'financial']"
272,2015-12-02,Mortgage,FHA mortgage,Settlement process and costs,"Bank of America told me that I could get a 30 year FHA mortgage loan through them at 3.8 % with no points and only a loan origination fee of approximately {$1000.00}. I was sent a GFE with those terms. The day before closing, I was sent the paperwork and noticed that I was being charged points and a bigger loan origination fee ( totaling {$3400.00} instead of {$1000.00} ). The seller 's bank would not approve pushing closing back while I looked into the discrepancy, so I asked my loan officer about the differences and he apologized and said he would check on getting me a refund after closing. During one of our discussions after closing, he said that I signed a document agreeing to the points and additional fees, so there was nothing he could do. I asked for a copy of the document. It was one that was sent to me in the mail in a packet that I did sign, but the listed charges that were later listed as points and loan origination charges were listed as 'settlement charges ' and since he told me there were no points and the only bank fee was ~ {$1000.00}, I believed the 'settlement charges ' were charges that were unrelated to points or bank fees, but rather charges that are standard and everyone pays with every FHA mortgage . When I explained this to him, he said that he would look into in and get back with me. Every time I contact him and ask him for an update, he says something like, 'let me check ' and never gets back to me. I feel this is very deceptive and they should refund me the {$2400.00} extra they charged.",Company chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",FL,34669,,True,Web,2015-12-02,Closed with explanation,True,True,1679149,[0. 0. 0. ... 0. 0. 0.],"['origination', 'listed', 'fee']"
274,2019-08-24,Mortgage,Conventional home mortgage,Struggling to pay mortgage,"During the 2nd week of //, I received my annual Escrow Account Disclosure Statement. Since this is the first year with Loancare as my mortgage servicer, this is the first time they have provided me this letter.

On the Annual Escrow Account Disclosure Statement, it was noted that I had an escrow surplus of {$150.00}. In other words, I had paid more into escrow than was necessary. As such, Loancare issued me a check for {$150.00}.

Also on the Annual Escrow Account Disclosure Statement, my semiannual property ( county ) tax disbursements were listed. I own two parcels. For one of the parcels, the semiannual property tax disbursement transferred identically from // to //, which is accurate. For the second parcel, a rear, half acre parcel on which there is no structure, no improvement, no change, Loancare noted that my semiannual tax disbursement would increase from {$67.00} to {$1300.00}. This equates to a difference of {$2600.00} for the year! As a result, my monthly escrow payment increased from {$590.00} to {$770.00}. This is almost {$200.00} more per month.

When I noticed this issue in early //, I began calling Loancare. At the time, they said that this issue would be fixed by //. It is now // and I have had to make two mortgage payments that are almost {$200.00} more per month than I had planned. I did not budget for this.

To date, I have called Loancare 7 times. I have sent them 3 emails via their customer service contact email address. I have received no response to any of the emails - either by phone, email, or mail. During those calls and within those emails, I have discussed the Annual Escrow Account Disclosure Statement, I have provided a link to my county auditor 's page for the parcel in question, I have provided the phone number to my county auditor, and I have explained the situation clearly and thoroughly. I don't know what more I could do - I've basically done their job for them, and yet they have taken no action on their end.

Today, I was told that this process may take another month or more. Simply put, I don't have the money to continue to make monthly payments that are {$200.00} more than they are supposed to be.

I don't know if Loancare is simply negligent ( i.e., they don't care about their customers at all ) or fraudulent ( they hike escrow payments in the hopes that borrowers default on their mortgages ), but something is amiss. This is the 6th property I've owned, and I have NEVER experienced a single issue with a mortgage servicer until now.

Please investigate Loancare. If I - as an educated and experienced borrower - have been treated this way, if by doing my due diligence there has still been nothing done on their end, I shudder to think about what they're doing to others.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"LoanCare, LLC",OH,45601,,True,Web,2019-08-24,Closed with explanation,True,True,3352789,[0. 0. 0. ... 0. 0. 0.],"['escrow', 'semiannual', 'annual']"
275,2021-03-12,Mortgage,Conventional home mortgage,Trouble during payment process,"I re-financed my home mortgage loan from a VA loan with   to a conventional loan with    in //. That loan was sold to the servicing company PHH Mortgage Services,   ,  , NJ . Tel :  and Fax : . 

My escrow account was also transferred to PHH Mortgage Services. My home insurance company is    . (  has been a phenomenal company-very good ). My first payment with PHH was  //. Even though PHH has had my insurance company 's mailing, billing, and contact information since , PHH has not paid  from my escrow account for my home insurance. 

My home insurance policy will now be canceled on // if PHH does not post their payment by that date. Today I confirmed with both  and PHH that PHH has all the correct information. 

I'm asking for government help to ensure that PHH will pay  for this payment and all future payments in a timely manner. Additionally, PHH has been a problem company for many citizens ' loans. I ask for a full investigation into their practices and the company in general. A quick  search will reveal that many people, 300+, have had serious issues with this company. If I continue to have issues with PHH, I am also asking for help in getting my loan sold to a different and responsible mortgage loan servicing company. 

Thank you for your service and urgent help in this matter.",,Ocwen Financial Corporation,NJ,08753,Servicemember,True,Web,2021-03-12,Closed with explanation,True,True,4205683,[0. 0. 0. ... 0. 0. 0.],"['company', 'insurance', 'loan']"
